"","celltype"
"x2_52_1_1_bc0393","eL2/3"
"x2_75_0_4_bc0290","eL2/3"
"x2_58_0_1_bc0800","eL2/3"
"x2_41_1_1_bc0177","eL2/3"
"x2_75_0_4_bc0395","eL2/3"
"x2_98_4_2_1_bc0366","eL2/3"
"x2_52_3_2_bc0431","eL2/3"
"x2_75_0_3_bc0883","eL2/3"
"x2_41_1_1_bc0300","eL2/3"
"x2_75_0_3_bc0756","eL2/3"
"x2_94_1_1_1_bc0081","eL2/3"
"x2_98_4_1_1_bc1525","eL2/3"
"x2_58_0_1_bc0041","eL2/3"
"x2_75_0_4_bc0095","eL2/3"
"x2_58_0_1_bc0327","eL2/3"
"x2_94_1_1_2_bc0072","eL2/3"
"x2_35_0_bc0679","eL2/3"
"x2_75_0_4_bc0594","eL2/3"
"x2_52_3_2_bc0050","eL2/3"
"x2_75_0_2_bc0506","eL2/3"
"x2_94_1_1_2_bc0035","eL2/3"
"x2_75_0_3_bc1001","eL2/3"
"x2_94_1_2_bc0919","eL2/3"
"x2_52_1_1_bc0600","eL2/3"
"x2_58_0_2_bc0292","eL2/3"
"x2_94_1_2_bc0316","eL2/3"
"x2_94_1_1_2_bc0988","eL2/3"
"x2_94_4_2_2_bc0346","eL2/3"
"x2_52_3_1_bc0494","eL2/3"
"x2_75_0_3_bc0478","eL2/3"
"x2_75_0_2_bc0239","eL2/3"
"x2_58_0_2_bc0061","eL2/3"
"x2_75_0_3_bc0474","eL2/3"
"x2_75_0_3_bc0282","eL2/3"
"x2_52_3_2_bc0732","eL2/3"
"x2_75_0_1_bc0603","eL2/3"
"x2_35_3_bc0078","eL2/3"
"x2_52_1_2_bc0693","eL2/3"
"x2_35_0_bc0609","eL2/3"
"x2_75_0_1_bc0126","eL2/3"
"x2_94_4_2_1_bc0086","eL2/3"
"x2_94_4_1_2_bc0302","eL2/3"
"x2_94_4_2_1_bc0071","eL2/3"
"x2_52_3_2_bc1382","eL2/3"
"x2_52_3_1_bc0046","eL2/3"
"x2_94_1_1_2_bc0188","eL2/3"
"x2_98_4_1_2_bc0076","eL2/3"
"x2_94_4_2_1_bc0289","eL2/3"
"x2_75_0_3_bc0335","eL2/3"
"x2_75_0_4_bc0099","eL2/3"
"x2_75_0_3_bc0436","eL2/3"
"x2_75_0_3_bc0420","eL2/3"
"x2_35_0_bc0543","eL2/3"
"x2_94_4_2_1_bc0580","eL2/3"
"x2_75_0_2_bc0424","eL2/3"
"x2_94_4_2_2_bc0060","eL2/3"
"x2_52_1_1_bc0605","eL2/3"
"x2_52_1_2_bc0341","eL2/3"
"x2_35_3_bc0527","eL2/3"
"x2_52_0_1_bc0735","eL2/3"
"x2_35_0_bc0204","eL2/3"
"x2_35_0_bc0595","eL2/3"
"x2_52_3_2_bc0255","eL2/3"
"x2_52_3_1_bc0452","eL2/3"
"x2_35_1_bc0067","eL2/3"
"x2_94_1_2_bc0333","eL2/3"
"x2_35_0_bc0935","eL2/3"
"x2_35_0_bc0667","eL2/3"
"x2_75_0_3_bc0845","eL2/3"
"x2_52_3_1_bc0535","eL2/3"
"x2_94_4_1_2_bc0160","eL2/3"
"x2_98_4_1_1_bc0394","eL2/3"
"x2_35_1_bc0921","eL2/3"
"x2_75_0_4_bc0051","eL2/3"
"x2_52_3_2_bc0618","eL2/3"
"x2_35_3_bc0167","eL2/3"
"x2_94_1_1_1_bc0240","eL2/3"
"x2_35_3_bc0686","eL2/3"
"x2_75_0_3_bc0025","eL2/3"
"x2_35_0_bc0468","eL2/3"
"x2_75_0_2_bc0708","eL2/3"
"x2_94_4_2_1_bc0281","eL2/3"
"x2_52_1_2_bc0023","eL2/3"
"x2_52_3_2_bc0917","eL2/3"
"x2_75_0_1_bc0083","eL2/3"
"x2_52_3_2_bc0138","eL2/3"
"x2_75_0_3_bc0317","eL2/3"
"x2_98_4_2_1_bc0272","eL2/3"
"x2_75_0_3_bc0242","eL2/3"
"x2_58_0_1_bc0355","eL2/3"
"x2_75_0_3_bc0512","eL2/3"
"x2_52_3_2_bc1296","eL2/3"
"x2_52_3_2_bc0131","eL2/3"
"x2_98_4_1_2_bc0069","eL2/3"
"x2_35_3_bc0426","eL2/3"
"x2_52_1_1_bc0416","eL2/3"
"x2_52_1_1_bc0995","eL2/3"
"x2_52_3_2_bc0472","eL2/3"
"x2_41_1_1_bc0144","eL2/3"
"x2_41_1_1_bc0211","eL2/3"
"x2_94_4_1_1_bc0066","eL2/3"
"x2_94_4_2_1_bc0517","eL2/3"
"x2_94_1_1_1_bc0339","eL2/3"
"x2_94_4_1_1_bc0098","eL2/3"
"x2_75_0_3_bc0103","eL2/3"
"x2_35_0_bc0282","eL2/3"
"x2_75_0_1_bc0364","eL2/3"
"x2_52_1_1_bc0237","eL2/3"
"x2_75_0_4_bc0105","eL2/3"
"x2_35_3_bc0172","eL2/3"
"x2_75_0_2_bc0200","eL2/3"
"x2_94_4_1_2_bc0109","eL2/3"
"x2_94_1_1_1_bc0229","eL2/3"
"x2_94_1_1_1_bc0469","eL2/3"
"x2_35_0_bc0201","eL2/3"
"x2_75_0_3_bc0376","eL2/3"
"x2_58_0_2_bc0223","eL2/3"
"x2_52_3_2_bc0519","eL2/3"
"x2_35_3_bc0042","eL2/3"
"x2_75_0_4_bc0043","eL2/3"
"x2_58_0_1_bc0047","eL2/3"
"x2_52_0_1_bc1293","eL4"
"x2_94_1_2_bc0341","eL4"
"x2_52_3_2_bc0319","eL4"
"x2_52_1_2_bc0080","eL4"
"x2_94_4_2_1_bc0414","eL4"
"x2_98_4_2_2_bc0220","eL4"
"x2_35_0_bc0746","eL4"
"x2_58_0_2_bc0323","eL4"
"x2_98_4_2_1_bc0635","eL4"
"x2_75_0_3_bc0921","eL4"
"x2_52_1_2_bc0842","eL4"
"x2_52_3_2_bc1217","eL4"
"x2_94_4_2_2_bc0059","eL4"
"x2_94_1_1_1_bc0191","eL4"
"x2_94_4_2_1_bc0463","eL4"
"x2_98_4_2_1_bc0117","eL4"
