"","celltype"
"F2S4_160120_022_A01","eL6"
"F2S4_160120_022_B01","eL6"
"F2S4_160120_022_C01","eL6"
"F2S4_160120_022_E01","eL6"
"F2S4_160120_022_F01","eL6"
"F2S4_160120_022_G01","eL6"
"F2S4_160120_022_H01","eL6"
"F2S4_160120_023_B01","eL6"
"F2S4_160120_023_C01","eL6"
"F2S4_160120_023_D01","eL6"
"F2S4_160120_023_E01","eL6"
"F2S4_160120_023_F01","eL6"
"F2S4_160120_023_G01","eL6"
"F2S4_160120_023_H01","eL6"
"F2S4_160120_024_A01","eL6"
"F2S4_160120_024_B01","eL6"
"F2S4_160120_024_C01","eL6"
"F2S4_160120_024_D01","eL6"
"F2S4_160120_024_E01","eL6"
"F2S4_160120_024_F01","eL6"
"F2S4_160120_024_G01","eL6"
"F2S4_160120_024_H01","eL6"
"F2S4_160120_025_A01","eL6"
"F2S4_160120_025_B01","eL6"
"F2S4_160120_025_C01","eL6"
"F2S4_160120_025_D01","eL6"
"F2S4_160120_025_E01","eL6"
"F2S4_160120_025_F01","eL6"
"F2S4_160120_025_G01","eL6"
"F2S4_160120_025_H01","eL6"
"F2S4_160120_026_A01","eL6"
"F2S4_160120_026_B01","eL6"
"F2S4_160120_026_C01","eL6"
"F2S4_160120_026_D01","eL6"
"F2S4_160120_026_E01","eL6"
"F2S4_160120_026_F01","eL6"
"F2S4_160120_026_G01","eL6"
"F2S4_160120_026_H01","eL6"
"F2S4_160120_027_A01","eL6"
"F2S4_160120_027_B01","eL6"
"F2S4_160120_027_C01","eL6"
"F2S4_160120_027_D01","eL6"
"F2S4_160120_027_E01","eL6"
"F2S4_160120_027_F01","eL6"
"F2S4_160120_027_G01","eL6"
"F2S4_160120_027_H01","eL6"
"F2S4_160120_028_A01","eL6"
"F2S4_160120_028_B01","eL6"
"F2S4_160120_028_C01","eL6"
"F2S4_160120_028_D01","eL6"
"F2S4_160120_028_E01","eL6"
"F2S4_160120_028_F01","eL6"
"F2S4_160120_028_G01","eL6"
"F2S4_160120_028_H01","eL6"
"F2S4_160121_001_A01","eL2/3"
"F2S4_160121_001_F01","eL2/3"
"F2S4_160126_005_B01","eL5"
"F2S4_160126_005_C01","eL5"
"F2S4_160126_005_D01","eL5"
"F2S4_160126_005_E01","eL5"
"F2S4_160126_005_F01","eL5"
"F2S4_160126_005_G01","eL5"
"F2S4_160126_005_H01","eL6"
"F2S4_160126_006_A01","eL6"
"F2S4_160126_006_B01","eL5"
"F2S4_160126_006_C01","eL5"
"F2S4_160126_006_D01","eL5"
"F2S4_160126_006_E01","eL6"
"F2S4_160126_006_F01","eL6"
"F2S4_160126_006_G01","eL5"
"F2S4_160126_006_H01","eL6"
"F2S4_160126_007_B01","eL5"
"F2S4_160126_007_C01","eL5"
"F2S4_160126_007_D01","eL5"
"F2S4_160126_007_F01","eL6"
"F2S4_160126_007_G01","eL5"
"F2S4_160126_008_A01","eL5"
"F2S4_160126_008_B01","eL6"
"F2S4_160126_008_C01","eL5"
"F2S4_160126_008_D01","eL5"
"F2S4_160126_008_E01","eL5"
"F2S4_160126_008_F01","eL5"
"F2S4_160126_008_H01","eL5"
"F2S4_160126_009_B01","eL6"
"F2S4_160126_009_C01","eL5"
"F2S4_160126_009_D01","Oligo"
"F2S4_160126_009_E01","eL6"
"F2S4_160126_009_F01","eL5"
"F2S4_160126_009_G01","eL5"
"F2S4_160126_009_H01","eL6"
"F2S4_160126_010_A01","eL6"
"F2S4_160126_010_B01","eL6"
"F2S4_160126_010_C01","eL5"
"F2S4_160126_010_D01","eL5"
"F2S4_160126_010_E01","eL6"
"F2S4_160126_010_F01","eL6"
"F2S4_160126_010_G01","eL6"
"F2S4_160126_010_H01","eL5"
"F2S4_160126_011_B01","eL6"
"F2S4_160126_011_C01","eL6"
"F2S4_160126_011_D01","eL6"
"F2S4_160126_011_E01","eL6"
"F2S4_160126_011_F01","eL6"
"F2S4_160126_011_G01","eL6"
"F2S4_160126_011_H01","eL6"
"F2S4_160126_012_A01","eL6"
"F2S4_160126_012_B01","eL6"
"F2S4_160126_012_C01","eL6"
"F2S4_160126_012_D01","eL6"
"F2S4_160126_012_F01","eL6"
"F2S4_160126_012_G01","eL6"
"F2S4_160126_012_H01","eL6"
"F2S4_160126_013_A01","eL6"
"F2S4_160126_013_B01","eL6"
"F2S4_160126_013_C01","eL6"
"F2S4_160126_013_D01","eL6"
"F2S4_160126_013_E01","eL6"
"F2S4_160126_013_F01","eL6"
"F2S4_160126_013_G01","eL6"
"F2S4_160126_013_H01","eL6"
"F2S4_160126_014_A01","eL6"
"F2S4_160126_014_B01","eL6"
"F2S4_160126_014_C01","eL6"
"F2S4_160126_014_D01","eL6"
"F2S4_160126_014_E01","eL6"
"F2S4_160126_014_F01","eL6"
"F2S4_160126_014_G01","eL6"
"F2S4_160126_014_H01","eL6"
"F2S4_160126_015_B01","eL6"
"F2S4_160126_015_C01","eL6"
"F2S4_160126_015_F01","eL6"
"F2S4_160126_015_G01","eL6"
"F2S4_160126_015_H01","eL6"
"F2S4_160126_016_A01","eL6"
"F2S4_160126_016_C01","eL6"
"F2S4_160126_016_D01","eL6"
"F2S4_160126_016_E01","eL6"
"F2S4_160126_016_F01","eL6"
"F2S4_160126_016_G01","eL6"
