,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
21x24,0.164244402,0.031154159,0,0.301844275,0,0,0,0.502757164,0
21x25,0,0.279035171,0,0,0,0.32593125,0,0.39503358,0
21x26,0,0,0.025114589,0.507926771,0,0,0,0.354224641,0.112733999
21x27,0,0.216516659,0.005192995,0.5815158,0,0.070289238,0,0.028849609,0.097635699
21x28,0,0.497934876,0,0.26444407,0,0.237621054,0,0,0
21x29,0,0.537748459,0,0.462251541,0,0,0,0,0
21x30,0,0.159971736,0,0,0,0.347203359,0,0.301791362,0.191033544
21x31,0.152029741,0.221511544,0,0.319104732,0.077263015,0.073621558,0.156469409,0,0
21x9,0,0,0,0,0,0,0,1,0
22x10,0,0,0.072551064,0,0,0,0.25601811,0.595607579,0.075823247
22x11,0,0,0,0.158216508,0,0.366929663,0,0.474853829,0
22x12,0,0,0.368493886,0,0,0,0,0.631506114,0
22x13,0,0,0.101965369,0.147088934,0,0,0,0.689752594,0.061193102
22x14,0,0,0,0,0,0.182616269,0,0.817383731,0
22x15,0,0,0,0.383274557,0,0,0,0.616725443,0
22x16,0,0,0,0,0,0.357056222,0,0.642943778,0
22x17,0,0,0,0,0,0.345150882,0.354088931,0.300760188,0
22x18,0,0,0,0,0.306758619,0,0,0.693241381,0
22x19,0.194251329,0.026147524,0,0.195230577,0.58437057,0,0,0,0
22x20,0,0,0,0,0.358101226,0,0,0.641898774,0
22x21,0,0.025330709,0.103160885,0,0.113944292,0,0,0.458039413,0.299524701
22x22,0,0.306027182,0,0.269782626,0.124682367,0,0,0.255340038,0.044167786
22x23,0.073467766,0,0,0,0,0.605055782,0.307271126,0,0.014205326
22x24,0,0,0.00985405,0.432475351,0,0,0,0.210171519,0.347499081
22x25,0,0.214060145,0,0.360921527,0.188980353,0.236037975,0,0,0
22x26,0.110469537,0.468527521,0,0.375338232,0,0,0,0,0.04566471
22x27,0,0,0,0.796274925,0,0.203725075,0,0,0
22x28,0,0.629313355,0,0,0.160393966,0.210292679,0,0,0
22x29,0.269834965,0.35648591,0,0,0,0.373679125,0,0,0
22x30,0,0.507600567,0.039404655,0.427554007,0.025440771,0,0,0,0
22x31,0,0.240777655,0,0.542747411,0,0.216474933,0,0,0
22x9,0.044784325,0,0.109370553,0.183539651,0.188927955,0,0,0.473377517,0
23x10,0,0,0,0,0,0,0,1,0
23x11,0,0.04027377,0.02757079,0,0.217228571,0,0,0.714926869,0
23x12,0,0,0.011026273,0.455331841,0,0,0,0.533641887,0
23x13,0,0,0.047410164,0,0,0,0,0.806715524,0.145874312
23x14,0,0.287155786,0,0.553572565,0,0.006585499,0,0.15268615,0
23x15,0,0,0,0,0,0,0,1,0
23x16,0,0,0,0,0,0.521707789,0,0.478292211,0
23x17,0,0,0,0,0,0,0.174654132,0.825345868,0
23x18,0,0,0,0,0,0,0,1,0
23x19,0,0,0,0.328119261,0.089916219,0.260814514,0,0.269835217,0.051314788
23x20,0.261373317,0,0.082143526,0,0,0.20551273,0,0.450970427,0
23x21,0,0,0,0,0.106763085,0.201669377,0,0.522492837,0.169074701
23x22,0,0.127518251,0,0.16966755,0,0,0.18473775,0.518076449,0
23x23,0,0.07081809,0,0,0.019976045,0.471112087,0,0.438093777,0
23x24,0.269699161,0.047786697,0,0.294802316,0,0,0,0.387711826,0
23x25,0,0,0,0.617364807,0,0.019815927,0.318265848,0.044553418,0
23x26,0.273560512,0.481150866,0,0,0,0,0,0.245288622,0
23x27,0,0.308338713,0,0.39815109,0,0,0.19167769,0.101832506,0
23x28,0,0.118819435,0,0.380221106,0,0.218263627,0,0.21597927,0.066716562
23x29,0,0,0,0.50828723,0,0,0.49171277,0,0
23x30,0,0.044450761,0,0.854887721,0,0.100661518,0,0,0
23x31,0,0,0,0.634839347,0,0.145510946,0.11617416,0.103475547,0
23x9,0,0,0.056359697,0.078300612,0,0,0,0.865339691,0
24x10,0,0,0.227363188,0,0.053410818,0,0,0.719225994,0
24x11,0,0,0.156107181,0,0,0,0,0.52508903,0.318803789
24x12,0,0.095900592,0.105543191,0,0.16079445,0,0,0.637761767,0
24x13,0,0,0,0,0,0.342320477,0,0.657679523,0
24x14,0,0,0,0.793428822,0,0.033931102,0,0.137407305,0.035232771
24x15,0,0,0,0,0,0.639776646,0.360223354,0,0
24x16,0,0.011870692,0.0238667,0,0,0,0,0.598108936,0.366153671
24x17,0,0,0.006789211,0.329651074,0,0.04154108,0,0.558567901,0.063450734
24x18,0,0,0.115789847,0,0,0,0,0.884210153,0
24x19,0.036392696,0.04457656,0,0,0,0.391382048,0,0.527648696,0
24x20,0,0,0.039078238,0.087652858,0,0,0,0.545801176,0.327467728
