"","new_celltype"
"cy81_FNA_CD45_neg_F12_S1032_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F02_S1118_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E11_S347_comb","Mal"
"Cy81_FNA_CD45_C08_S320_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G03_S747_comb","Mal"
"CY89NEG_F04_S64_comb","Mal"
"Cy81_Bulk_CD45_C05_S125_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A12_S396_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H10_S766_comb","Mal"
"cy80_CD45_neg_D01_S901_comb","Mal"
"CY89NEG_D05_S41_comb","Mal"
"cy80_CD45_neg_C02_S890_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B04_S16_comb","Mal"
"cy80_CD45_neg_E10_S922_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H04_S1144_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C02_S1082_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C11_S419_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G03_S1131_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F07_S1123_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C09_S1089_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_D10_S814_comb","Mal"
"CY89NEG_F08_S68_comb","Mal"
"CY89CORE11_D05_S137_comb","Mal"
"cy81_Bulk_CD45_neg_G04_S172_comb","Mal"
"Cy81_Bulk_CD45_B04_S112_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_F08_S836_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_E01_S241_comb","Mal"
"CY89CORE11_A03_S99_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D08_S332_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D11_S1103_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F03_S351_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C10_S226_comb","Mal"
"CY89NEG_A07_S7_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F09_S1125_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C05_S125_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G07_S751_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C09_S225_comb","Mal"
"cy81_Bulk_CD45_neg_G07_S175_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B09_S213_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H02_S278_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G04_S748_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B06_S402_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C02_S218_comb","Mal"
"Cy81_FNA_CD45_F03_S351_comb","Mal"
"CY89FNAQ2_G05_S461_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_F05_S737_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_A11_S1067_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E05_S53_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_E01_S145_comb","Mal"
"CY89NEG_B01_S13_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G06_S1134_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A11_S11_comb","Mal"
"CY89FNAQ2_C06_S414_comb","Mal"
"Cy81_Bulk_CD45_B05_S113_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G05_S77_comb","Mal"
"cy80_CD45_neg_C03_S891_comb","Mal"
"CY89CORE11_B08_S116_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G11_S83_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_B09_S693_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G06_S366_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G01_S361_comb","Mal"
"CY89CORE11_E12_S156_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_D05_S809_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_C04_S796_comb","Endo."
"cy82_CD45_pos_2_E02_S530_comb","Mal"
"cy82_CD45_pos_2_G05_S557_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F10_S70_comb","Mal"
"Cy80_II_CD45_C02_S890_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F02_S62_comb","Mal"
"Cy80_II_CD45_F01_S925_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G12_S1140_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E02_S50_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C12_S132_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A06_S6_comb","Mal"
"CY89FNAQ2_D06_S426_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B05_S113_comb","Mal"
"Cy80_II_CD45_E01_S913_comb","Mal"
"CY89NEG_G08_S80_comb","Mal"
"Cy81_FNA_CD45_B02_S302_comb","Mal"
"cy80_CD45_neg_F01_S925_comb","Mal"
"cy81_Bulk_CD45_neg_G06_S174_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G04_S460_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B07_S211_comb","Mal"
