"","Astro","eL2/3","eL4","eL5","eL6","Endo","Micro","Oligo","PVALB","Smc","SST","VIP"
"x6534y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x7034y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x7534y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x8034y2050",0,0,0,0,0,0.25,0,0.75,0,0,0,0
"x8534y2050",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x9034y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x9534y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x10034y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x10534y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x34y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x534y2550",0,0,0,0,0,0,0.125,0.875,0,0,0,0
"x1034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x1534y2550",0,0,0,0,0,0.166666666666667,0,0.833333333333333,0,0,0,0
"x2034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x2534y2550",0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0
"x3034y2550",0,0,0,0.5,0,0,0.5,0,0,0,0,0
"x4534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x5034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x5534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x6034y2550",0.25,0,0,0,0,0.25,0,0.5,0,0,0,0
"x6534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x7034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x7534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x8034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x8534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x9034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x9534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x10034y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x10534y2550",0,0,0,0,0,0,0,1,0,0,0,0
"x34y3050",0,0,0,0,0.428571428571429,0,0,0.571428571428571,0,0,0,0
"x534y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x1034y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x1534y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x2034y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x2534y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x3034y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x3534y3050",0,0,0,0,0,0,0,0.5,0,0,0.5,0
"x4534y3050",0.166666666666667,0,0,0,0,0,0,0.833333333333333,0,0,0,0
"x5034y3050",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x5534y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x6034y3050",0.5,0,0,0,0,0,0,0,0,0.5,0,0
"x6534y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x7034y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x7534y3050",0,0,0,0,0,0,0,1,0,0,0,0
"x8034y3050",0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0
"x8534y3050",0,0,0,0,0.5,0,0,0.5,0,0,0,0
"x9034y3050",0,0,0,0.2,0.6,0,0,0.2,0,0,0,0
"x9534y3050",0,0,0,0,0.5,0.5,0,0,0,0,0,0
"x10034y3050",0.25,0,0,0,0.75,0,0,0,0,0,0,0
"x10534y3050",0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0
"x34y3550",0,0,0,0,1,0,0,0,0,0,0,0
"x534y3550",0.6,0,0,0,0.2,0,0,0.2,0,0,0,0
"x1034y3550",0,0,0,0,0,0,0,1,0,0,0,0
"x1534y3550",0.2,0,0,0,0,0,0,0.8,0,0,0,0
"x2034y3550",0.142857142857143,0,0,0,0,0,0,0.857142857142857,0,0,0,0
"x2534y3550",0,0,0,0,0,0,0,1,0,0,0,0
"x3034y3550",0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0
"x3534y3550",1,0,0,0,0,0,0,0,0,0,0,0
"x4534y3550",0,0,0,0,1,0,0,0,0,0,0,0
"x5034y3550",0,0,0,0,0.5,0,0,0.25,0,0,0.25,0
"x5534y3550",0.2,0,0,0,0.6,0,0,0.2,0,0,0,0
"x6034y3550",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0
"x6534y3550",0.2,0,0,0,0.6,0.2,0,0,0,0,0,0
"x7034y3550",0,0,0,0,0.8,0,0,0.2,0,0,0,0
"x7534y3550",0,0,0,0.166666666666667,0.666666666666667,0.166666666666667,0,0,0,0,0,0
"x8034y3550",0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0
"x8534y3550",0,0,0,0,1,0,0,0,0,0,0,0
"x9034y3550",0,0,0,0,1,0,0,0,0,0,0,0
"x9534y3550",0,0,0,0,1,0,0,0,0,0,0,0
"x10034y3550",0.25,0,0,0,0.5,0,0,0,0.25,0,0,0
"x10534y3550",0,0,0,0,1,0,0,0,0,0,0,0
"x34y4050",0,0,0,0,0.833333333333333,0,0,0.166666666666667,0,0,0,0
"x534y4050",0,0,0,0,1,0,0,0,0,0,0,0
"x1034y4050",0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0
"x1534y4050",0.4,0,0,0,0.4,0,0,0.2,0,0,0,0
"x2034y4050",0,0,0,0,0,0,0,1,0,0,0,0
"x2534y4050",0.25,0,0,0,0,0,0.25,0.5,0,0,0,0
"x3034y4050",0,0,0,0,0,0,0,1,0,0,0,0
"x3534y4050",0,0,0,0,0,0,0,1,0,0,0,0
"x4534y4050",0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"x5034y4050",0,0,0,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0,0,0
"x5534y4050",0.25,0,0,0,0.75,0,0,0,0,0,0,0
"x6034y4050",0,0,0,0,1,0,0,0,0,0,0,0
"x6534y4050",0,0,0,0,1,0,0,0,0,0,0,0
"x7034y4050",0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,0
"x7534y4050",0,0,0,0,0.75,0.25,0,0,0,0,0,0
"x8034y4050",0,0.111111111111111,0,0,0.888888888888889,0,0,0,0,0,0,0
"x8534y4050",0,0,0,0,0.5,0,0,0.5,0,0,0,0
"x9034y4050",0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0
"x9534y4050",0,0,0,0,1,0,0,0,0,0,0,0
"x10034y4050",0,0,0.166666666666667,0.166666666666667,0.666666666666667,0,0,0,0,0,0,0
"x10534y4050",0,0,0,0,0.857142857142857,0,0,0,0.142857142857143,0,0,0
"x34y4550",0,0,0,0,0.8,0.2,0,0,0,0,0,0
"x534y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x1034y4550",0,0,0,0,0.4,0,0.2,0.2,0.2,0,0,0
"x1534y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x2034y4550",0,0,0,0,0.75,0,0,0.25,0,0,0,0
"x2534y4550",0,0,0,0,0.6,0,0,0.4,0,0,0,0
"x3034y4550",0.6,0,0,0,0,0,0,0.4,0,0,0,0
"x4534y4550",0,0,0,0.166666666666667,0.833333333333333,0,0,0,0,0,0,0
"x5034y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x5534y4550",0,0,0,0,0.6,0,0.2,0,0,0,0,0.2
"x6034y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x7034y4550",0.25,0,0,0,0.5,0,0.25,0,0,0,0,0
"x8034y4550",0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"x8534y4550",0.5,0,0,0,0.5,0,0,0,0,0,0,0
"x9034y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x9534y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x10034y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x10534y4550",0,0,0,0,1,0,0,0,0,0,0,0
"x34y5050",0.166666666666667,0,0,0,0.833333333333333,0,0,0,0,0,0,0
"x534y5050",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0
"x1034y5050",0,0,0.2,0,0.6,0.2,0,0,0,0,0,0
"x1534y5050",0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"x2034y5050",0.2,0,0,0,0.6,0,0,0,0.2,0,0,0
"x2534y5050",0,0,0,0,1,0,0,0,0,0,0,0
"x3034y5050",0,0,0,0,0.8,0,0,0.2,0,0,0,0
"x3534y5050",0,0,0,0,1,0,0,0,0,0,0,0
"x4534y5050",0,0,0,0,0.75,0,0,0.25,0,0,0,0
"x5034y5050",0,0,0,0,1,0,0,0,0,0,0,0
"x5534y5050",0,0,0,0,1,0,0,0,0,0,0,0
"x6034y5050",0,0,0,0,0.25,0,0.5,0.25,0,0,0,0
"x6534y5050",0,0,0,0,1,0,0,0,0,0,0,0
"x7034y5050",0,0,0,0,1,0,0,0,0,0,0,0
"x7534y5050",0.25,0,0,0,0.5,0.25,0,0,0,0,0,0
"x8034y5050",0,0,0,0,0,0,0,0.5,0.5,0,0,0
"x8534y5050",0,0,0.5,0,0.5,0,0,0,0,0,0,0
"x9034y5050",0,0,0,0.25,0.75,0,0,0,0,0,0,0
"x9534y5050",0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0
"x10034y5050",0.25,0,0,0.25,0.5,0,0,0,0,0,0,0
"x10534y5050",0,0,0,1,0,0,0,0,0,0,0,0
"x34y5550",0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0
"x534y5550",0,0,0,0,0.5,0.5,0,0,0,0,0,0
"x1034y5550",0.5,0,0,0,0,0.5,0,0,0,0,0,0
"x1534y5550",0,0,0,0,0.5,0,0.5,0,0,0,0,0
"x2034y5550",0.25,0,0,0,0.5,0,0,0,0,0,0,0.25
