"","celltype"
"x2_41_1_1_bc1664","Astro"
"x2_98_4_2_2_bc1228","Astro"
"x2_94_4_2_2_bc0284","Astro"
"x2_52_3_1_bc0708","Astro"
"x2_58_0_1_bc2500","Astro"
"x2_94_1_1_2_bc0467","Astro"
"x2_94_1_1_2_bc0741","Astro"
"x2_52_3_1_bc0875","Astro"
"x2_52_0_1_bc1370","Astro"
"x2_58_0_2_bc0494","Astro"
"x2_41_1_1_bc2592","Astro"
"x2_35_1_bc3743","Astro"
"x2_35_3_bc2445","Astro"
"x2_52_1_2_bc1648","Astro"
"x2_75_0_4_bc0959","Astro"
"x2_94_1_1_2_bc0737","Astro"
"x2_35_3_bc2616","Astro"
"x2_52_3_1_bc1341","Astro"
"x2_35_3_bc2270","Astro"
"x2_52_0_2_bc1251","Astro"
"x2_52_0_1_bc2045","Astro"
"x2_98_4_2_2_bc0699","Astro"
"x2_35_1_bc3075","Astro"
"x2_94_4_2_2_bc0427","Astro"
"x2_35_0_bc1417","Astro"
"x2_98_4_2_2_bc0575","Astro"
"x2_35_3_bc2832","Astro"
"x2_98_4_2_1_bc0473","Astro"
"x2_98_4_2_2_bc1076","Astro"
"x2_35_3_bc0793","Astro"
"x2_52_3_1_bc1653","Astro"
"x2_35_3_bc0954","Astro"
"x2_52_0_1_bc1584","Astro"
"x2_75_0_1_bc0853","Astro"
"x2_41_1_1_bc2821","Astro"
"x2_41_1_1_bc3803","Astro"
"x2_35_1_bc3678","Astro"
"x2_52_0_2_bc1596","Astro"
"x2_35_0_bc2026","Astro"
"x2_58_0_2_bc1301","Astro"
"x2_98_4_1_2_bc0630","Astro"
"x2_98_4_2_1_bc0685","Astro"
"x2_41_1_1_bc3678","Astro"
"x2_94_4_1_1_bc1162","Astro"
"x2_75_0_2_bc2002","Astro"
"x2_98_4_1_2_bc1942","Astro"
"x2_35_3_bc1880","Astro"
"x2_75_0_1_bc1156","Astro"
"x2_75_0_2_bc1556","Astro"
"x2_41_1_1_bc1966","Astro"
"x2_52_0_1_bc2618","Astro"
"x2_52_0_2_bc0414","Astro"
"x2_52_0_2_bc0863","Astro"
"x2_52_3_2_bc2042","Astro"
"x2_52_0_1_bc1119","Astro"
"x2_41_1_1_bc2416","Astro"
"x2_98_4_2_2_bc1608","Astro"
"x2_58_0_2_bc1342","Astro"
"x2_94_4_2_2_bc0697","Astro"
"x2_94_4_2_2_bc0591","Astro"
"x2_52_1_1_bc1898","Astro"
"x2_75_0_3_bc0970","Astro"
"x2_35_1_bc1438","Astro"
"x2_41_1_1_bc2238","Astro"
"x2_98_4_2_1_bc0760","Astro"
"x2_41_1_1_bc0462","Astro"
"x2_58_0_1_bc3087","Astro"
"x2_52_3_1_bc2696","Astro"
"x2_35_1_bc1819","Astro"
"x2_35_1_bc1924","Astro"
"x2_35_1_bc4316","Astro"
"x2_52_1_2_bc1502","Astro"
"x2_52_0_2_bc1000","Astro"
"x2_75_0_1_bc1958","Astro"
"x2_41_1_1_bc2722","Astro"
"x2_52_3_2_bc2970","Astro"
"x2_94_1_2_bc1717","Astro"
"x2_94_1_2_bc0989","Astro"
"x2_98_4_1_2_bc1472","Astro"
"x2_35_1_bc2404","Astro"
"x2_58_0_1_bc0802","Astro"
"x2_52_1_2_bc1979","Astro"
"x2_75_0_4_bc2659","Astro"
"x2_94_4_1_1_bc1636","Astro"
"x2_35_3_bc2940","Astro"
"x2_41_1_1_bc2115","Astro"
"x2_75_0_4_bc1707","Astro"
"x2_75_0_1_bc0982","Astro"
"x2_98_4_1_2_bc0566","Astro"
"x2_94_4_2_1_bc0458","Astro"
"x2_98_4_2_1_bc0567","Astro"
"x2_98_1_1_bc0403","Astro"
"x2_98_4_1_2_bc1214","Astro"
"x2_75_0_1_bc1811","Astro"
"x2_35_1_bc4395","Astro"
"x2_35_0_bc2310","Astro"
"x2_52_0_2_bc0410","Astro"
"x2_94_1_2_bc1107","Astro"
"x2_52_1_1_bc1989","Astro"
"x2_35_3_bc1401","Astro"
"x2_94_1_1_2_bc0283","Astro"
"x2_94_4_1_2_bc0548","Astro"
"x2_52_0_1_bc2268","Astro"
"x2_75_0_1_bc0717","Astro"
"x2_35_0_bc1786","Astro"
"x2_94_1_2_bc1072","Astro"
"x2_41_1_1_bc2944","Astro"
"x2_58_0_1_bc1308","Astro"
"x2_94_4_1_1_bc1354","Astro"
"x2_94_1_2_bc0492","Astro"
"x2_98_4_1_2_bc1070","Astro"
"x2_35_1_bc1779","Astro"
"x2_58_0_1_bc3205","Astro"
"x2_35_3_bc2788","Astro"
"x2_52_1_1_bc1469","Astro"
"x2_58_0_1_bc1337","Astro"
"x2_58_0_2_bc1224","Astro"
"x2_41_1_1_bc3362","Astro"
"x2_98_1_1_bc0520","Astro"
"x2_52_0_1_bc3230","Astro"
"x2_35_1_bc1860","Astro"
"x2_58_0_1_bc1340","Astro"
"x2_75_0_2_bc0362","Astro"
"x2_75_0_4_bc1915","Astro"
"x2_52_0_1_bc1941","Astro"
"x2_94_1_2_bc1260","Astro"
"x2_98_4_1_2_bc0314","Astro"
"x2_94_4_2_2_bc1397","Astro"
"x2_52_1_1_bc1217","Astro"
"x2_52_0_1_bc1800","Astro"
"x2_35_3_bc1233","Astro"
"x2_58_0_2_bc0796","Astro"
"x2_94_1_2_bc0938","Astro"
"x2_35_1_bc2752","Astro"
"x2_52_0_1_bc1871","Astro"
"x2_52_3_2_bc2670","Astro"
"x2_35_3_bc2084","Astro"
"x2_98_4_2_2_bc0701","Astro"
"x2_94_4_2_2_bc0382","Astro"
"x2_52_0_2_bc1262","Astro"
"x2_75_0_1_bc1237","Astro"
"x2_52_1_1_bc0955","Astro"
"x2_94_4_2_2_bc1097","Astro"
"x2_52_1_1_bc0742","Astro"
"x2_52_0_2_bc0354","Astro"
"x2_52_0_2_bc0676","Astro"
"x2_52_1_1_bc1398","Astro"
"x2_52_0_2_bc0466","Astro"
"x2_35_1_bc1712","Astro"
"x2_98_4_1_1_bc0598","Astro"
"x2_98_4_2_1_bc1548","Astro"
"x2_94_1_2_bc1848","Astro"
"x2_94_4_2_2_bc1136","Astro"
"x2_94_4_2_2_bc0807","Astro"
"x2_35_3_bc2160","Astro"
"x2_52_3_1_bc2187","Astro"
"x2_58_0_1_bc0856","Astro"
"x2_94_4_2_2_bc1549","Astro"
"x2_94_1_2_bc1567","Astro"
"x2_52_0_2_bc1739","Astro"
"x2_98_4_1_1_bc1201","Astro"
"x2_58_0_2_bc1372","Astro"
"x2_52_1_2_bc1153","Astro"
"x2_52_3_2_bc1203","Astro"
"x2_35_0_bc2276","Astro"
"x2_52_0_1_bc0808","Astro"
"x2_94_4_2_1_bc1039","Astro"
